GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.warehouse.api.beans,Warehouse,4,34,0,0,2,14,1,10,1,10
java-code-assignment,com.warehouse.api.beans,WarehouseSearchResult,0,36,0,0,0,14,0,9,0,9
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,WarehouseSearchPage,0,15,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,Product,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,0,134,0,10,0,30,0,12,0,7
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,0,95,0,0,0,15,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,0,33,0,0,0,9,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,7,214,2,16,1,44,2,14,0,7
java-code-assignment,com.fulfilment.application.monolith.common,RestExceptionMapper,0,64,1,5,0,14,1,5,0,3
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,0,173,2,16,0,41,2,15,0,8
java-code-assignment,com.fulfilment.application.monolith.stores,StoreUpdatedEvent,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreCreatedEvent,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,7,60,0,0,2,17,0,5,0,5
java-code-assignment,com.fulfilment.application.monolith.stores,Store,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreEventObserver,0,32,0,0,0,8,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,4,291,5,17,0,63,5,15,0,9
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,0,39,0,4,0,11,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,0,100,0,12,0,22,0,8,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,0,119,0,14,0,26,0,9,0,2
